Car,Year,Price,Color,Fuel,Origin,License,Gear,Glass,Power,Meter,Passengers,Payment,Sale,Previous_owners,Additions
دراجة نارية 2016,2016,6500,أصفر,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,125,125,1+1,نقدا فقط,للبيع فقط,0,"مُكيّف,فتحة سقف"
كيا اوبتيما,2015,85000,أبيض عاجي,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,2000,,4+1,نقدا فقط,للبيع فقط,,"مُكيّف,إغلاق مركزي,جهاز إنذار,مسجل,فتحة سقف,جنطات مغنيسيوم,فرش جلد,وسادة حماية هوائية"
بي ام دبليو 318,2005,55000,كحلي,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,2000,,,إمكانية التقسيط,للبيع فقط,,"مُكيّف,إغلاق مركزي,جهاز إنذار,مسجل,فتحة سقف,جنطات مغنيسيوم,فرش جلد,وسادة حماية هوائية"
سكودا سوبيرب,2015,115000,أسود,ديزل,خصوصي,فلسطينية,اوتوماتيك,الكتروني,2000,,4+1,نقدا فقط,للبيع أو التبديل,يد اولى,"مُكيّف,إغلاق مركزي,جهاز إنذار,مسجل,فتحة سقف,جنطات مغنيسيوم,فرش جلد,وسادة حماية هوائية"
فولكسفاجن بورا,2001,8000,سكني,بنزين,خصوصي,نمرة صفراء,عادي,الكتروني,2000,260,4+1,نقدا فقط,للبيع فقط,,
كيا سبورتاج,2016,98000,أسود,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1600,9000,4+1,نقدا فقط,للبيع فقط,يد اولى,"مُكيّف,إغلاق مركزي,جهاز إنذار,مسجل,فتحة سقف,جنطات مغنيسيوم,فرش جلد,وسادة حماية هوائية"
كيا بيكانتو,2015,45000,أسود,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1000,٤٩٠٠٠,4+1,نقدا فقط,للبيع فقط,يد اولى,"مُكيّف,إغلاق مركزي,جهاز إنذار,مسجل,فتحة سقف,جنطات مغنيسيوم,فرش جلد,وسادة حماية هوائية"
اوبل زافيرا,2002,32000,سكني,ديزل,خصوصي,فلسطينية,عادي,الكتروني,2000,١٢٣٤٥٦٧٨٩,6+1,نقدا فقط,للبيع فقط,٢,"مُكيّف,إغلاق مركزي,جهاز إنذار,مسجل,جنطات مغنيسيوم,وسادة حماية هوائية"
كيا ريو,2011,35000,أبيض,بنزين,تأجير,فلسطينية,اوتوماتيك,الكتروني,1400,,4+1,إمكانية التقسيط,للبيع فقط,1,"مُكيّف,إغلاق مركزي,مسجل,جنطات مغنيسيوم,وسادة حماية هوائية"
ميتسوبيشي I300,2009,30000,أبيض عاجي,بنزين,حكومي,فلسطينية,عادي,يدوي,2400,,2+1,نقدا فقط,للبيع فقط,,
فولكسفاجن جولف,2008,48000,أسود,ديزل,خصوصي,فلسطينية,عادي,الكتروني,2000,,4+1,إمكانية التقسيط,للبيع أو التبديل,,"مُكيّف,إغلاق مركزي,جهاز إنذار,مسجل,فرش جلد,وسادة حماية هوائية"
فورد فيستا,2012,39000,أزرق سماوي,بنزين,خصوصي,فلسطينية,عادي,الكتروني,1250,,4+1,إمكانية التقسيط,للبيع أو التبديل,,"مُكيّف,إغلاق مركزي,جهاز إنذار,مسجل"
هونداي توسان,2016,125000,عدة الوان,ديزل,خصوصي,فلسطينية,اوتوماتيك,الكتروني,2000,000,,إمكانية التقسيط,للبيع فقط,,"مُكيّف,إغلاق مركزي,جهاز إنذار,مسجل,فتحة سقف,جنطات مغنيسيوم,فرش جلد,وسادة حماية هوائية"
ديهاتسو  ابلاوس,2000,20000,أزرق,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1600,,4+1,نقدا فقط,للبيع أو التبديل,يد ثانية,"مُكيّف,إغلاق مركزي,مسجل,جنطات مغنيسيوم"
سكودا اوكتافيا,2013,85000,أبيض,ديزل,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1600,4,4+1,إمكانية التقسيط,للبيع أو التبديل,2,"مُكيّف,إغلاق مركزي,جهاز إنذار,مسجل,جنطات مغنيسيوم,فرش جلد,وسادة حماية هوائية"
ستروين DS3,2012,50000,زيتي,بنزين,خصوصي,فلسطينية,عادي,الكتروني,1600,125000,4+1,إمكانية التقسيط,للبيع فقط,اولى,"مُكيّف,إغلاق مركزي,مسجل,جنطات مغنيسيوم,فرش جلد,وسادة حماية هوائية"
اوبل استرا,1999,28000,أبيض,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1600,,4+1,نقدا فقط,للبيع فقط,يد ثانية,"مُكيّف,إغلاق مركزي,مسجل,وسادة حماية هوائية"
اوبل كورسا,2000,20000,أزرق,بنزين,حكومي,فلسطينية,عادي,يدوي,1200,,4+1,إمكانية التقسيط,للبيع فقط,,"مُكيّف,مسجل"
كيا سول,2014,75000,فيراني,ديزل,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1600,00000,3+1,إمكانية التقسيط,للبيع أو التبديل,يد ثانية,"مُكيّف,إغلاق مركزي,جهاز إنذار,مسجل,جنطات مغنيسيوم,فرش جلد,وسادة حماية هوائية"
فيات بونتو,1999,21000,أبيض عاجي,بنزين,خصوصي,فلسطينية,عادي,يدوي,1250,,,نقدا فقط,للبيع فقط,,"مُكيّف,مسجل,جنطات مغنيسيوم,فرش جلد,وسادة حماية هوائية"
,,,,,,,,,,,,,,,"معرض السيارات,أسعار السيارات,حاسبة التأمين,التؤوريا"
هونداي i30,2008,45000,أسود ميتالك,ديزل,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1600,300000,4+1,إمكانية التقسيط,للبيع أو التبديل,ثالثة,"مُكيّف,إغلاق مركزي,جهاز إنذار,مسجل,فتحة سقف,جنطات مغنيسيوم,فرش جلد,وسادة حماية هوائية"
فولكسفاجن باسات,2012,115000,أزرق سماوي,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1800,,4+1,إمكانية التقسيط,للبيع أو التبديل,,"مُكيّف,إغلاق مركزي,جهاز إنذار,مسجل,فتحة سقف,جنطات مغنيسيوم,فرش جلد,وسادة حماية هوائية"
كيا سول,2014,70000,بيج,ديزل,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1600,,4+1,إمكانية التقسيط,للبيع أو التبديل,١,"مُكيّف,إغلاق مركزي,جهاز إنذار,مسجل,جنطات مغنيسيوم,فرش جلد"
بيجو 205,1988,19000,فضي,بنزين,حكومي,فلسطينية,عادي,الكتروني,1400,,4+1,نقدا فقط,للبيع فقط,8,"إغلاق مركزي,جهاز إنذار,مسجل,فتحة سقف,جنطات مغنيسيوم,فرش جلد"
سيت ليون,2015,73000,أبيض,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1200,73000,4+1,إمكانية التقسيط,للبيع فقط,يد ثانية,"مُكيّف,إغلاق مركزي,مسجل,جنطات مغنيسيوم,فرش جلد,وسادة حماية هوائية"
بيجو بوكسر,2010,20000,أبيض,ديزل,تجاري,نمرة صفراء,عادي,الكتروني,2200,180.000الف,6+1,نقدا فقط,للبيع فقط,2يد,"مُكيّف,إغلاق مركزي,جهاز إنذار,مسجل,وسادة حماية هوائية"
كيا مورننغ,2016,45000,أبيض عاجي,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1000,,4+1,نقدا فقط,للبيع فقط,2,"مُكيّف,إغلاق مركزي,جهاز إنذار,مسجل,جنطات مغنيسيوم,وسادة حماية هوائية"
هونداي سانتافيه,2009,72000,أخضر,ديزل,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1605,١٦٢٠٠,6+1,نقدا فقط,للبيع فقط,اولى,"مُكيّف,إغلاق مركزي,جهاز إنذار,مسجل,فتحة سقف,جنطات مغنيسيوم,فرش جلد,وسادة حماية هوائية"
هونداي اكسنت,2017,79999,أبيض عاجي,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1600,31000,4+1,نقدا فقط,للبيع فقط,يد أولى,"مُكيّف,إغلاق مركزي,جهاز إنذار,مسجل,فتحة سقف,جنطات مغنيسيوم,فرش جلد,وسادة حماية هوائية"
شفروليه كافلير,1998,12000,ذهبي,ديزل,خصوصي,فلسطينية,اوتوماتيك,الكتروني,2200,,,إمكانية التقسيط,للبيع فقط,,
اوبل اسكونا,1983,12000,أخضر,بنزين,خصوصي,فلسطينية,عادي,يدوي,1300,,4+1,نقدا فقط,للبيع فقط,يد ثانيه,
سكودا فابيا,2012,41000,فيراني,بنزين,خصوصي,فلسطينية,عادي,الكتروني,1400,0000,4+1,إمكانية التقسيط,للبيع أو التبديل,2,"مُكيّف,إغلاق مركزي,مسجل,جنطات مغنيسيوم,وسادة حماية هوائية"
,,,,,,,,,,,,,,,"معرض السيارات,أسعار السيارات,حاسبة التأمين,التؤوريا"
فورد فيستا,2014,44000,فضي,بنزين,خصوصي,فلسطينية,عادي,الكتروني,1250,,4+1,إمكانية التقسيط,للبيع أو التبديل,,"مُكيّف,إغلاق مركزي,جهاز إنذار,مسجل,وسادة حماية هوائية"
ميتسوبيشي اوت لاندر,2006,50000,سكني,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,2400,165000,4+1,إمكانية التقسيط,للبيع فقط,يد ثانيه,"مُكيّف,إغلاق مركزي,مسجل,فتحة سقف,جنطات مغنيسيوم,فرش جلد"
شفروليه كروز,2010,88000,رصاصي,ديزل,تجاري,فلسطينية,اوتوماتيك,الكتروني,5500,٢٢٠,5+1,نقدا فقط,للبيع أو التبديل,٢,"مُكيّف,إغلاق مركزي,مسجل,جنطات مغنيسيوم,فرش جلد,وسادة حماية هوائية"
كيا برايد,2009,42000,أحمر,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1600,,4+1,إمكانية التقسيط,للبيع أو التبديل,,"مُكيّف,إغلاق مركزي,جهاز إنذار,مسجل,جنطات مغنيسيوم,فرش جلد,وسادة حماية هوائية"
كيا سيراتو,2016,84000,أبيض,ديزل,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1600,37000,,إمكانية التقسيط,للتبديل فقط,يد اولى,"مُكيّف,إغلاق مركزي,جهاز إنذار,مسجل,فتحة سقف,جنطات مغنيسيوم,فرش جلد,وسادة حماية هوائية"
فولكسفاجن كرافيل,2007,60000,أبيض عاجي,ديزل,عمومي,فلسطينية,عادي,الكتروني,2000,,7+1,إمكانية التقسيط,للبيع أو التبديل,2,"مُكيّف,إغلاق مركزي,جهاز إنذار,مسجل,جنطات مغنيسيوم,فرش جلد,وسادة حماية هوائية"
اوبل كورسا,2014,45000,فيراني,بنزين,خصوصي,فلسطينية,عادي,الكتروني,1400,60000,4+1,نقدا فقط,للبيع فقط,يد 6,"مُكيّف,إغلاق مركزي,مسجل,جنطات مغنيسيوم,وسادة حماية هوائية"
سكودا اوكتافيا,2013,77000,أسود,ديزل,خصوصي,فلسطينية,عادي,الكتروني,1600,200000,4+1,نقدا فقط,للبيع فقط,3,"مُكيّف,إغلاق مركزي,جهاز إنذار,مسجل,جنطات مغنيسيوم,وسادة حماية هوائية"
اوبل استرا,2006,37000,رمادي,بنزين,خصوصي,فلسطينية,عادي,الكتروني,1600,,4+1,إمكانية التقسيط,للبيع فقط,يد تانية,"مُكيّف,إغلاق مركزي,مسجل,جنطات مغنيسيوم,وسادة حماية هوائية"
فولكسفاجن بولو,2015,72999,فضي,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1200,,4+1,إمكانية التقسيط,للبيع أو التبديل,,"مُكيّف,إغلاق مركزي,جهاز إنذار,مسجل,فتحة سقف,جنطات مغنيسيوم,وسادة حماية هوائية"
فيات اونو,1984,11000,أبيض,بنزين,خصوصي,فلسطينية,عادي,الكتروني,1400,,4+1,نقدا فقط,للبيع فقط,,
سيت قرطبة,2005,41000,كحلي,بنزين,خصوصي,فلسطينية,عادي,الكتروني,1400,١٩٠ الف,4+1,إمكانية التقسيط,للبيع أو التبديل,يد ثانيه,"مُكيّف,مسجل,وسادة حماية هوائية"
جييب كومباس,2014,85000,بني,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,2000,106000,4+1,نقدا فقط,للبيع فقط,يد أولئ,"مُكيّف,إغلاق مركزي,جهاز إنذار,مسجل,جنطات مغنيسيوم,فرش جلد,وسادة حماية هوائية"
فولكسفاجن باسات,1999,28000,أبيض,ديزل,عمومي,فلسطينية,عادي,الكتروني,1600,,4+1,إمكانية التقسيط,للبيع فقط,,"مُكيّف,مسجل,جنطات مغنيسيوم,فرش جلد,وسادة حماية هوائية"
هونداي توسان,2011,85000,فيراني,ديزل,خصوصي,فلسطينية,اوتوماتيك,الكتروني,2000,,,نقدا فقط,للبيع فقط,2,"مُكيّف,إغلاق مركزي,جهاز إنذار,مسجل,فتحة سقف,جنطات مغنيسيوم,فرش جلد,وسادة حماية هوائية"
سكودا فابيا,2004,30000,سكني,ديزل,عمومي,فلسطينية,عادي,الكتروني,1900,٠٠,4+1,نقدا فقط,للبيع أو التبديل,٠٠,"مُكيّف,إغلاق مركزي,جهاز إنذار,مسجل,جنطات مغنيسيوم,وسادة حماية هوائية"
هونداي تيراكان,2006,63000,أبيض,ديزل,خصوصي,فلسطينية,اوتوماتيك,الكتروني,3000,١٥٠الف,6+1,إمكانية التقسيط,للبيع أو التبديل,يد٢,"مُكيّف,إغلاق مركزي,جهاز إنذار,مسجل,فتحة سقف,جنطات مغنيسيوم,فرش جلد"
فولكسفاجن بولو,1998,30000,أزرق,بنزين,خصوصي,فلسطينية,عادي,الكتروني,1400,00000000,4+1,إمكانية التقسيط,للبيع أو التبديل,يد ثانية,"مُكيّف,إغلاق مركزي,مسجل,جنطات مغنيسيوم"
فولكسفاجن جولف,2009,65000,سكني,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,166,950000,4+1,نقدا فقط,للبيع فقط,يد تانيه,"مُكيّف,إغلاق مركزي,جهاز إنذار,مسجل,جنطات مغنيسيوم,وسادة حماية هوائية"
بيجو 206+,2012,34000,سكني,بنزين,خصوصي,فلسطينية,عادي,الكتروني,1400,,,نقدا فقط,للبيع أو التبديل,,"مُكيّف,إغلاق مركزي,جهاز إنذار,مسجل,جنطات مغنيسيوم,وسادة حماية هوائية"
مرسيدس C300,2016,205000,أسود,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,2000,36000,4+1,نقدا فقط,للبيع فقط,,"مُكيّف,إغلاق مركزي,جهاز إنذار,مسجل,فتحة سقف,جنطات مغنيسيوم,فرش جلد,وسادة حماية هوائية"
,,,,,,,,,,,,,,,"معرض السيارات,أسعار السيارات,حاسبة التأمين,التؤوريا"
مرسيدس 413,2005,52000,أبيض,ديزل,تجاري,فلسطينية,عادي,الكتروني,2700,00000000ج,2+1,إمكانية التقسيط,للبيع أو التبديل,,
بيجو 206,2008,32000,أبيض,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1600,,4+1,إمكانية التقسيط,للبيع أو التبديل,,"مُكيّف,إغلاق مركزي,مسجل,وسادة حماية هوائية"
سيت قرطبة,2004,23000,بني,ديزل,عمومي,فلسطينية,عادي,الكتروني,1900,شغال,4+1,نقدا فقط,للبيع فقط,خمسة,"مُكيّف,إغلاق مركزي,جهاز إنذار,مسجل,وسادة حماية هوائية"
هونداي H1,2010,59500,فيراني,ديزل,حكومي,فلسطينية,عادي,الكتروني,2500,2600,7+1,نقدا فقط,للبيع فقط,أولى,"مُكيّف,إغلاق مركزي,جهاز إنذار,مسجل,جنطات مغنيسيوم,فرش جلد,وسادة حماية هوائية"
سيت ابيزا,2018,78000,أبيض عاجي,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1000,69000,4+1,نقدا فقط,للبيع فقط,1,"مُكيّف,إغلاق مركزي,جهاز إنذار,مسجل,جنطات مغنيسيوم,فرش جلد,وسادة حماية هوائية"
سكودا اوكتافيا,2013,75000,بني,ديزل,خصوصي,فلسطينية,اوتوماتيك,الكتروني,2000,٠٠٠٠٠٠٠٠,4+1,نقدا فقط,للبيع فقط,١,"مُكيّف,إغلاق مركزي,جهاز إنذار,مسجل,جنطات مغنيسيوم,وسادة حماية هوائية"
ميتسوبيشي لانسر,2001,38000,فضي,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1600,300000,4+1,نقدا فقط,للبيع فقط,اولى,"مُكيّف,إغلاق مركزي,جهاز إنذار,مسجل,وسادة حماية هوائية"
سيت ابيزا,2012,45000,أسود,بنزين,خصوصي,فلسطينية,عادي,الكتروني,1400,٩٥٠٠٠,4+1,إمكانية التقسيط,للبيع أو التبديل,يد ثانية,"مُكيّف,إغلاق مركزي,جهاز إنذار,مسجل,جنطات مغنيسيوم,وسادة حماية هوائية"
اودي A6,2007,75000,أسود ميتالك,بنزين,حكومي,فلسطينية,نصف اوتوماتيك,الكتروني,2400,170000,4+1,إمكانية التقسيط,للبيع أو التبديل,صفر,"مُكيّف,إغلاق مركزي,جهاز إنذار,مسجل,جنطات مغنيسيوم,فرش جلد,وسادة حماية هوائية"
هونداي توسان,2016,90000,فيراني,ديزل,خصوصي,فلسطينية,اوتوماتيك,الكتروني,2000,100,4+1,نقدا فقط,للبيع فقط,1,"مُكيّف,إغلاق مركزي,جهاز إنذار,مسجل,جنطات مغنيسيوم,فرش جلد,وسادة حماية هوائية"
,,,,,,,,,,,,,,,"معرض السيارات,أسعار السيارات,حاسبة التأمين,التؤوريا"
كيا سبورتاج,2015,109900,خمري,ديزل,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1700,55000,4+1,نقدا فقط,للبيع فقط,يد اولى,"مُكيّف,إغلاق مركزي,جهاز إنذار,مسجل,فتحة سقف,جنطات مغنيسيوم,فرش جلد,وسادة حماية هوائية"
سكودا فابيا,2006,38000,أبيض عاجي,ديزل,عمومي,فلسطينية,عادي,الكتروني,1900,,4+1,إمكانية التقسيط,للبيع أو التبديل,,"مُكيّف,إغلاق مركزي,جهاز إنذار,مسجل,جنطات مغنيسيوم,فرش جلد,وسادة حماية هوائية"
هونداي الانترا,2000,24000,أبيض,بنزين,تدريب سياقة,فلسطينية,عادي,الكتروني,1600,123456,4+1,إمكانية التقسيط,للبيع أو التبديل,3,"إغلاق مركزي,مسجل,جنطات مغنيسيوم"
فولكسفاجن كادي,2013,73000,رمادي,ديزل,خصوصي,فلسطينية,عادي,الكتروني,1600,250000,6+1,إمكانية التقسيط,للبيع أو التبديل,يد اولى,"مُكيّف,إغلاق مركزي,جهاز إنذار,مسجل,جنطات مغنيسيوم,فرش جلد,وسادة حماية هوائية"
فولكسفاجن بولو,1999,25500,كحلي,بنزين,خصوصي,فلسطينية,عادي,الكتروني,1600,95000,4+1,نقدا فقط,للبيع فقط,يد ثانية,"مُكيّف,إغلاق مركزي,جهاز إنذار,جنطات مغنيسيوم,وسادة حماية هوائية"
بيجو بارتنر,2016,65000,فيراني,ديزل,خصوصي,فلسطينية,عادي,الكتروني,1600,٩٠,4+1,نقدا فقط,للبيع فقط,٠,"مُكيّف,إغلاق مركزي,جهاز إنذار,مسجل,فرش جلد,وسادة حماية هوائية"
سكودا رابيد,2015,80000,أسود,ديزل,خصوصي,فلسطينية,عادي,الكتروني,1600,"85,000",4+1,إمكانية التقسيط,للبيع فقط,1,"مُكيّف,إغلاق مركزي,جنطات مغنيسيوم,وسادة حماية هوائية"
هونداي اكسنت,2015,58000,سكني,بنزين,خصوصي,فلسطينية,نصف اوتوماتيك,الكتروني,1400,105,4+1,نقدا فقط,للبيع فقط,1,"مُكيّف,إغلاق مركزي,جهاز إنذار,مسجل,جنطات مغنيسيوم,فرش جلد,وسادة حماية هوائية"
فولكسفاجن جيتا,2013,57000,أبيض,ديزل,عمومي,فلسطينية,عادي,الكتروني,1600,,4+1,إمكانية التقسيط,للبيع فقط,اولى,"جهاز إنذار,مسجل,جنطات مغنيسيوم,فرش جلد"
اوبل كورسا,1999,2200,أسود ميتالك,بنزين,خصوصي,نمرة صفراء,عادي,يدوي,1400,,4+1,نقدا فقط,للبيع فقط,,
رينو R9,1983,5500,أخضر,بنزين,خصوصي,فلسطينية,عادي,يدوي,1200,,4+1,نقدا فقط,للبيع فقط,7,
,,,,,,,,,,,,,,,"معرض السيارات,أسعار السيارات,حاسبة التأمين,التؤوريا"
سكودا اوكتافيا,2011,62000,أبيض,ديزل,خصوصي,فلسطينية,عادي,الكتروني,1600,197000,4+1,نقدا فقط,للبيع فقط,2,"مُكيّف,إغلاق مركزي,جهاز إنذار,مسجل,جنطات مغنيسيوم,وسادة حماية هوائية"
,,,,,,,,,,,,,,,"معرض السيارات,أسعار السيارات,حاسبة التأمين,التؤوريا"
هونداي الانترا,2012,50000,أسود,بنزين,خصوصي,فلسطينية,عادي,الكتروني,1600,,4+1,إمكانية التقسيط,للبيع أو التبديل,,"مُكيّف,جهاز إنذار,مسجل,فتحة سقف,جنطات مغنيسيوم,فرش جلد"
فولكسفاجن كادي,2014,88000,أسود,ديزل,خصوصي,فلسطينية,عادي,الكتروني,1600,,6+1,إمكانية التقسيط,للبيع أو التبديل,يد اولى,"مُكيّف,إغلاق مركزي,مسجل,جنطات مغنيسيوم,فرش جلد,وسادة حماية هوائية"
هونداي سانتافيه,2002,35000,أبيض عاجي,ديزل,خصوصي,فلسطينية,اوتوماتيك,الكتروني,2000,٨٠٠٠٠٩٩٦٦٥٤٤,6+1,إمكانية التقسيط,للبيع أو التبديل,٨,"مُكيّف,إغلاق مركزي,فتحة سقف,جنطات مغنيسيوم,فرش جلد,وسادة حماية هوائية"
هونداي i30,2008,47000,أسود,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1600,100000,4+1,نقدا فقط,للبيع فقط,يد اولى,"مُكيّف,إغلاق مركزي,جهاز إنذار,مسجل,فتحة سقف,جنطات مغنيسيوم,فرش جلد,وسادة حماية هوائية"
سكودا سوبيرب,2017,143999,أحمر,ديزل,خصوصي,فلسطينية,اوتوماتيك,الكتروني,2000,69000,,إمكانية التقسيط,للبيع أو التبديل,,"مُكيّف,إغلاق مركزي,جهاز إنذار,مسجل,جنطات مغنيسيوم,فرش جلد,وسادة حماية هوائية"
كيا سورينتو,2017,164999,أسود ميتالك,ديزل,خصوصي,فلسطينية,اوتوماتيك,الكتروني,2200,60380,6+1,إمكانية التقسيط,للبيع أو التبديل,صفر,"مُكيّف,إغلاق مركزي,جهاز إنذار,مسجل,فتحة سقف,جنطات مغنيسيوم,فرش جلد,وسادة حماية هوائية"
فولكسفاجن جولف بلس,1979,12000,أبيض,بنزين,خصوصي,فلسطينية,اوتوماتيك,يدوي,1600,2000,4+1,نقدا فقط,للبيع فقط,12,"مسجل,جنطات مغنيسيوم,فرش جلد"
تويوتا لاند كروزر,2008,200000,أسود ميتالك,ديزل,خصوصي,فلسطينية,اوتوماتيك,الكتروني,3000,,6+1,إمكانية التقسيط,للبيع أو التبديل,,"مُكيّف,إغلاق مركزي,جهاز إنذار,مسجل,فتحة سقف,جنطات مغنيسيوم,فرش جلد,وسادة حماية هوائية"
اوبل اسكونا,1985,13000,أزرق,بنزين,خصوصي,فلسطينية,عادي,يدوي,1300,,4+1,نقدا فقط,للبيع فقط,يد ثالثة,"جهاز إنذار,جنطات مغنيسيوم"
كيا فورتي,2008,49000,أسود ميتالك,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1600,,4+1,نقدا فقط,للبيع فقط,يد ثانيه,"مُكيّف,إغلاق مركزي,جهاز إنذار,مسجل,جنطات مغنيسيوم,فرش جلد,وسادة حماية هوائية"
سكودا اوكتافيا,2006,40000,أزرق سماوي,ديزل,عمومي,فلسطينية,عادي,الكتروني,1900,,4+1,نقدا فقط,للبيع فقط,,
فولكسفاجن جولف,2008,60000,أسود,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1600,,4+1,إمكانية التقسيط,للبيع فقط,3,"مُكيّف,إغلاق مركزي,جهاز إنذار,مسجل,جنطات مغنيسيوم,فرش جلد,وسادة حماية هوائية"
فورد  اكس بلورر,2008,90000,رصاصي,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,4600,170000,7+1,إمكانية التقسيط,للبيع فقط,يد ثانيه,"مُكيّف,إغلاق مركزي,جهاز إنذار,مسجل,جنطات مغنيسيوم,فرش جلد,وسادة حماية هوائية"
بي ام دبليو 318,1998,38000,أزرق,بنزين,خصوصي,فلسطينية,عادي,الكتروني,1800,150000,4+1,نقدا فقط,للبيع فقط,7,
هونداي اكسنت,2017,65000,أبيض,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1400,,4+1,نقدا فقط,للبيع فقط,صفر,"مُكيّف,إغلاق مركزي,جهاز إنذار,مسجل,جنطات مغنيسيوم,فرش جلد,وسادة حماية هوائية"
فولكسفاجن بولو,2014,50000,فيراني,بنزين,خصوصي,فلسطينية,عادي,الكتروني,1200,66000,4+1,نقدا فقط,للبيع فقط,1,"مُكيّف,إغلاق مركزي,جهاز إنذار,مسجل,جنطات مغنيسيوم,وسادة حماية هوائية"
فورد فيستا,2013,43000,كرميدي,بنزين,خصوصي,فلسطينية,عادي,الكتروني,1250,,4+1,إمكانية التقسيط,للبيع أو التبديل,3,"مُكيّف,إغلاق مركزي,جهاز إنذار,مسجل,وسادة حماية هوائية"
فيات 127,1980,1500,أبيض,بنزين,خصوصي,فلسطينية,عادي,الكتروني,900,٦٥٥٠٠,4+1,نقدا فقط,للبيع فقط,٤,
سكودا فابيا,2002,29000,أبيض عاجي,ديزل,عمومي,فلسطينية,عادي,الكتروني,1900,,4+1,نقدا فقط,للبيع فقط,يد اولى فقط,"مُكيّف,إغلاق مركزي,جهاز إنذار,مسجل,وسادة حماية هوائية"
سيت ليون,2017,104999,أسود,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1400,45000,4+1,إمكانية التقسيط,للبيع أو التبديل,استيراد الماني,"مُكيّف,إغلاق مركزي,جهاز إنذار,مسجل,فتحة سقف,جنطات مغنيسيوم,فرش جلد,وسادة حماية هوائية"
فولفو FL 7,1998,60000,أبيض,ديزل,تجاري,فلسطينية,عادي,الكتروني,230,0000,1+1,إمكانية التقسيط,للبيع فقط,يد ثالثة,"مُكيّف,إغلاق مركزي,جهاز إنذار,مسجل,فتحة سقف,جنطات مغنيسيوم,فرش جلد,وسادة حماية هوائية"
فولكسفاجن توران,2009,63000,خمري,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1400,158000,6+1,نقدا فقط,للبيع فقط,,"مُكيّف,إغلاق مركزي,مسجل,فتحة سقف,جنطات مغنيسيوم,وسادة حماية هوائية"
نيسان جوك,2012,57000,أسود,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1600,130000,4+1,نقدا فقط,للبيع أو التبديل,1,"مُكيّف,إغلاق مركزي,جهاز إنذار,مسجل,جنطات مغنيسيوم,وسادة حماية هوائية"
سيت ليون,2016,67000,أسود ميتالك,بنزين,خصوصي,فلسطينية,عادي,الكتروني,1200,68,4+1,نقدا فقط,للبيع فقط,,"مُكيّف,إغلاق مركزي,جهاز إنذار,مسجل,جنطات مغنيسيوم,وسادة حماية هوائية"
بيجو 307,2003,32000,سكني,ديزل,عمومي,فلسطينية,عادي,الكتروني,1900,,6+1,إمكانية التقسيط,للبيع فقط,,
فولكسفاجن بولو,1998,22000,أبيض,ديزل,عمومي,فلسطينية,عادي,الكتروني,1900,شغال,4+1,إمكانية التقسيط,للبيع فقط,3,"مُكيّف,مسجل,وسادة حماية هوائية"
سكودا اوكتافيا,2016,82000,أسود,ديزل,خصوصي,فلسطينية,اوتوماتيك,الكتروني,2000,230,4+1,نقدا فقط,للبيع فقط,0,"مُكيّف,إغلاق مركزي,جهاز إنذار,مسجل,جنطات مغنيسيوم,وسادة حماية هوائية"
